team,group_winner_prob,runner_up_prob,third_place_qualifier_prob,round_32_prob,round_16_prob,quarterfinalist_prob,semifinalist_prob,finalist_prob,champion_prob
Spain,0.7313,0.2315,0.0294,0.9922,0.7407,0.5151,0.3916,0.2561,0.1626
England,0.7151,0.2292,0.04,0.9843,0.758,0.4865,0.312,0.1979,0.1157
Argentina,0.6387,0.237,0.0836,0.9593,0.6316,0.4634,0.3151,0.1922,0.1115
France,0.5724,0.2898,0.1276,0.9898,0.7505,0.4905,0.3186,0.1908,0.1093
Brazil,0.6204,0.261,0.0877,0.9691,0.672,0.413,0.2585,0.1406,0.0771
Germany,0.667,0.2487,0.0608,0.9765,0.7068,0.4744,0.2786,0.1375,0.0661
Portugal,0.4898,0.4097,0.089,0.9885,0.7211,0.4136,0.2415,0.1147,0.0538
Colombia,0.464,0.4204,0.0991,0.9835,0.6849,0.3876,0.2132,0.1073,0.0515
Belgium,0.6482,0.2443,0.0762,0.9687,0.7132,0.4925,0.2222,0.1114,0.0495
Netherlands,0.5203,0.3212,0.1036,0.9451,0.5488,0.3033,0.1571,0.0776,0.0366
Mexico,0.6438,0.2369,0.081,0.9617,0.7059,0.3916,0.1641,0.0739,0.0287
Norway,0.2909,0.4021,0.2541,0.9471,0.5381,0.2393,0.1027,0.0467,0.0184
Japan,0.3635,0.382,0.1541,0.8996,0.405,0.1869,0.0853,0.0379,0.0159
Morocco,0.2631,0.4278,0.1869,0.8778,0.4142,0.1989,0.0914,0.0379,0.015
Switzerland,0.6269,0.242,0.0822,0.9511,0.6563,0.2809,0.1203,0.0453,0.0147
Uruguay,0.2377,0.548,0.1252,0.9109,0.3989,0.2035,0.096,0.0381,0.0143
Croatia,0.2354,0.4993,0.1408,0.8755,0.4468,0.1786,0.0836,0.0339,0.0135
Ecuador,0.2471,0.4432,0.1741,0.8644,0.4413,0.2086,0.0731,0.0294,0.011
Paraguay,0.2852,0.3134,0.2106,0.8092,0.4467,0.1831,0.0594,0.0161,0.0054
Iran,0.2502,0.4387,0.1885,0.8774,0.442,0.1962,0.0573,0.0179,0.0047
South Korea,0.2378,0.4179,0.1716,0.8273,0.4347,0.1573,0.0445,0.0154,0.0045
Austria,0.2008,0.356,0.2514,0.8082,0.259,0.1081,0.0409,0.014,0.004
USA,0.4196,0.2887,0.1697,0.878,0.5278,0.1846,0.056,0.0121,0.0037
Senegal,0.1357,0.3029,0.4328,0.8714,0.3679,0.1236,0.0405,0.0125,0.0035
Algeria,0.1419,0.3309,0.252,0.7248,0.2171,0.088,0.0294,0.0081,0.0027
Australia,0.2634,0.3122,0.231,0.8066,0.4092,0.1552,0.0437,0.0128,0.0024
Canada,0.2482,0.4178,0.1708,0.8368,0.374,0.1175,0.0293,0.0075,0.0015
Scotland,0.1033,0.2506,0.281,0.6349,0.1959,0.0667,0.0212,0.0059,0.0012
Côte d'Ivoire,0.072,0.2288,0.2664,0.5672,0.1556,0.0404,0.0088,0.0025,0.0004
Tunisia,0.0926,0.2122,0.2602,0.565,0.1371,0.0359,0.0064,0.0015,0.0003
Egypt,0.0843,0.2482,0.2865,0.619,0.1837,0.0501,0.0105,0.0016,0.0002
Uzbekistan,0.0455,0.1619,0.4342,0.6416,0.1375,0.0271,0.0063,0.0006,0.0001
South Africa,0.0408,0.1439,0.1718,0.3565,0.09,0.018,0.0035,0.0005,0.0001
UEFA Playoff D,0.0776,0.2013,0.2344,0.5133,0.1252,0.0248,0.0031,0.0007,0.0001
Cabo Verde,0.0073,0.063,0.1199,0.1902,0.0141,0.0015,0.0001,0.0,0.0
Curaçao,0.0139,0.0793,0.1293,0.2225,0.0304,0.0039,0.0003,0.0,0.0
FIFA Playoff 1,0.0007,0.008,0.0381,0.0468,0.0017,0.0,0.0,0.0,0.0
FIFA Playoff 2,0.001,0.0052,0.0132,0.0194,0.0008,0.0001,0.0,0.0,0.0
Ghana,0.0184,0.1173,0.1915,0.3272,0.0452,0.0081,0.0013,0.0001,0.0
Jordan,0.0186,0.0761,0.118,0.2127,0.0249,0.0036,0.0002,0.0,0.0
Panama,0.0311,0.1542,0.2052,0.3905,0.0659,0.0117,0.0016,0.0001,0.0
New Zealand,0.0173,0.0688,0.1142,0.2003,0.0288,0.0041,0.0003,0.0,0.0
Haiti,0.0132,0.0606,0.1119,0.1857,0.0204,0.004,0.0004,0.0,0.0
Qatar,0.0706,0.1698,0.2086,0.449,0.0967,0.0162,0.0024,0.0,0.0
Saudi Arabia,0.0237,0.1575,0.2558,0.437,0.0561,0.0114,0.0019,0.0003,0.0
UEFA Playoff C,0.0318,0.0857,0.133,0.2505,0.0488,0.0072,0.001,0.0,0.0
UEFA Playoff A,0.0543,0.1704,0.2011,0.4258,0.0922,0.0177,0.0037,0.0004,0.0
UEFA Playoff B,0.0236,0.0846,0.1519,0.2601,0.0365,0.0057,0.0011,0.0002,0.0
